booking_id,flight_id,customer_id,booking_date,cabin,price_brl,channel,feedback_text
1,3487,223,2025-07-30,Economy,1246.14,app,"Comissários muito gentis, voo perfeito."
2,1000,256,2025-11-07,Economy,517.8,site,
3,541,88,2025-07-05,Economy+,1627.7,site,"Cheguei antes do horário, parabéns Befly."
4,48,421,2026-02-13,Economy,2551.9,agencia,
5,1483,25,2026-04-17,Economy,373.21,app,
6,4486,2,2025-07-21,Business,3536.95,site,
7,2684,389,2025-09-18,Economy,475.22,site,
8,520,119,2025-05-21,Economy,426.88,app,Aeronave suja e ar condicionado quebrado.
9,1380,250,2025-06-01,Economy,501.44,site,
10,2308,152,2025-07-30,Economy+,2820.5,agencia,
11,2907,132,2025-11-21,Economy,2013.38,app,
12,1566,116,2025-10-21,Economy,1489.26,agente,
13,2014,425,2025-09-22,Economy,346.33,app,
14,2232,480,2025-04-28,Economy,401.11,app,Voo atrasou 3 horas e nenhuma comunicação foi feita.
15,1027,467,2025-06-10,Economy,846.24,app,Voo atrasou 3 horas e nenhuma comunicação foi feita.
16,2107,241,2025-10-07,Economy,1978.29,site,"Atendimento por telefone é horrível, ninguém resolve."
17,2060,438,2025-09-29,Economy,410.84,app,
18,4130,353,2025-09-03,Economy+,2157.76,app,"Atendimento por telefone é horrível, ninguém resolve."
19,2279,307,2025-06-04,Economy,1628.62,app,
20,476,393,2026-02-04,Economy+,2594.96,app,
21,4451,1,2025-06-24,Economy,432.18,site,
22,1088,405,2026-03-01,Economy,2505.26,app,
23,2991,60,2025-08-05,Economy,1232.39,site,
24,3060,68,2025-06-15,Economy+,2763.95,app,"Tudo ok, nada demais a comentar."
25,809,219,2026-01-18,Economy,409.82,app,
26,4535,35,2025-06-01,Economy,1859.94,agencia,
27,4221,118,2026-03-11,Economy,290.03,agencia,
28,1112,380,2025-08-07,Economy+,2714.04,site,"Aeronave nova e limpa, gostei bastante."
29,4579,429,2025-09-30,Economy+,793.03,agencia,"Voo dentro do esperado, sem problemas."
30,4935,251,2026-01-08,Economy,1812.62,app,"Tudo ok, nada demais a comentar."
