flight_id,flight_number,origin,destination,tail_number,scheduled_departure,scheduled_arrival,actual_departure,actual_arrival,distance_km,status,delay_minutes,delay_reason
1,BF1001,FOR,AJU,PR-BFY14,2025-07-13T18:25,2025-07-13T19:16,2025-07-13T22:16,2025-07-13T23:03,600,COMPLETED,231,weather
2,BF1002,SDU,BVB,PR-BFY12,2025-11-16T12:35,2025-11-16T15:57,2025-11-16T12:35,2025-11-16T16:06,2800,COMPLETED,0,none
3,BF1003,CGH,MCZ,PR-BFY01,2026-05-18T20:36,2026-05-18T23:02,2026-05-18T20:36,2026-05-18T23:10,1800,COMPLETED,0,none
4,BF1004,GRU,FOR,PR-BFY06,2025-12-18T01:26,2025-12-18T03:48,2025-12-18T01:26,2025-12-18T03:56,1800,COMPLETED,0,none
5,BF1005,GIG,SDU,PR-BFY09,2025-09-17T10:10,2025-09-17T10:37,2025-09-17T12:39,2025-09-17T13:12,400,COMPLETED,149,atc
6,BF1006,BEL,FLN,PR-BFY08,2025-07-28T12:57,2025-07-28T17:20,2025-07-28T12:57,2025-07-28T17:22,3500,COMPLETED,0,none
7,BF1007,CGR,THE,PR-BFY03,2025-07-29T16:52,2025-07-29T19:09,2025-07-29T16:52,2025-07-29T19:05,1700,COMPLETED,0,none
8,BF1008,FLN,NVT,PR-BFY03,2026-03-02T15:30,2026-03-02T16:14,2026-03-02T15:30,2026-03-02T16:14,500,COMPLETED,0,none
9,BF1009,SSA,RBR,PR-BFY17,2026-04-12T23:07,2026-04-13T01:47,2026-04-12T23:07,2026-04-13T01:45,2000,COMPLETED,0,none
10,BF1010,PMW,CGH,PR-BFY09,2025-11-15T07:27,2025-11-15T10:53,2025-11-15T07:27,2025-11-15T11:03,2800,COMPLETED,0,none
11,BF1011,CGH,GIG,PR-BFY11,2025-12-22T03:52,2025-12-22T04:40,2025-12-22T03:52,2025-12-22T04:40,400,COMPLETED,0,none
12,BF1012,GRU,GYN,PR-BFY10,2025-09-13T23:55,2025-09-14T01:16,2025-09-13T23:55,2025-09-14T01:13,900,COMPLETED,0,none
13,BF1013,CNF,JPA,PR-BFY13,2025-11-23T02:33,2025-11-23T04:56,2025-11-23T02:33,2025-11-23T05:01,1800,COMPLETED,0,none
14,BF1014,MAO,SLZ,PR-BFY02,2025-09-10T21:48,2025-09-11T00:33,2025-09-10T21:48,2025-09-11T00:39,2000,COMPLETED,0,none
15,BF1015,GIG,IGU,PR-BFY11,2025-11-17T01:00,2025-11-17T02:16,2025-11-17T01:00,2025-11-17T02:23,800,COMPLETED,169,weather
16,BF1016,GRU,AJU,PR-BFY18,2025-12-17T00:44,2025-12-17T03:14,2025-12-17T00:44,2025-12-17T03:20,1800,COMPLETED,0,none
17,BF1017,FLN,IGU,PR-BFY08,2025-10-14T06:00,2025-10-14T06:48,2025-10-14T06:00,2025-10-14T06:52,500,COMPLETED,0,none
18,BF1018,THE,VCP,PR-BFY11,2025-07-30T17:43,2025-07-30T19:56,2025-07-30T17:43,2025-07-30T19:55,1800,COMPLETED,197,atc
19,BF1019,POA,GIG,PR-BFY04,2025-08-06T15:26,2025-08-06T16:16,2025-08-06T15:26,2025-08-06T16:19,800,COMPLETED,0,none
20,BF1020,SDU,VCP,PR-BFY04,2025-10-15T10:54,2025-10-15T11:27,2025-10-15T10:54,2025-10-15T11:35,400,COMPLETED,0,none
21,BF1021,GRU,GIG,PR-BFY01,2026-02-13T17:06,2026-02-13T17:43,2026-02-13T17:06,2026-02-13T17:50,400,COMPLETED,168,weather
22,BF1022,CGR,IGU,PR-BFY19,2026-03-10T09:17,2026-03-10T11:08,2026-03-10T09:17,2026-03-10T11:10,1300,COMPLETED,158,weather
23,BF1023,REC,CNF,PR-BFY03,2026-03-05T05:46,2026-03-05T07:56,2026-03-05T07:18,2026-03-05T09:27,1800,COMPLETED,92,mechanical
24,BF1024,CNF,IGU,PR-BFY16,2025-12-18T22:46,2025-12-18T23:49,2025-12-19T02:21,2025-12-19T03:27,800,COMPLETED,215,operational
25,BF1025,JPA,MCZ,PR-BFY11,2025-10-21T09:27,2025-10-21T10:16,2025-10-21T10:59,2025-10-21T11:55,600,COMPLETED,92,mechanical
26,BF1026,MCP,JPA,PR-BFY20,2026-03-04T15:03,2026-03-04T17:48,2026-03-04T15:03,2026-03-04T17:56,2000,COMPLETED,0,none
27,BF1027,SDU,CWB,PR-BFY06,2026-01-20T12:01,2026-01-20T13:10,2026-01-20T12:01,2026-01-20T13:15,800,COMPLETED,0,none
28,BF1028,FLN,CWB,PR-BFY11,2025-12-30T05:25,2025-12-30T06:15,2025-12-30T05:25,2025-12-30T06:17,500,COMPLETED,0,none
29,BF1029,FLN,CGB,PR-BFY18,2026-03-14T03:02,2026-03-14T04:40,2026-03-14T05:41,2026-03-14T07:19,1300,COMPLETED,159,mechanical
30,BF1030,GRU,MAO,PR-BFY03,2026-05-03T03:25,2026-05-03T07:15,2026-05-03T03:25,2026-05-03T07:19,2800,COMPLETED,0,none
31,BF1031,MCP,RBR,PR-BFY09,2026-03-25T22:16,2026-03-25T23:57,2026-03-25T22:16,2026-03-25T23:59,1200,COMPLETED,0,none
32,BF1032,AJU,SDU,PR-BFY19,2026-04-05T02:41,2026-04-05T05:11,2026-04-05T02:41,2026-04-05T05:21,1800,COMPLETED,0,none
